case_id,country,ingredient_keyword,ingredient_type
CASE-00001,중국,김,PROCESSED_INGREDIENT
CASE-00002,일본,채소 식초 절임,FINISHED_PRODUCT
CASE-00003,일본,떡볶이소스 소스,PROCESSED_INGREDIENT
CASE-00004,미국,밀가루 밀,PROCESSED_INGREDIENT
CASE-00005,미국,밀가루 밀,PROCESSED_INGREDIENT
CASE-00006,미국,음료,FINISHED_PRODUCT
CASE-00007,미국,음료,FINISHED_PRODUCT
CASE-00008,미국,쥐치 생선 물고기,RAW_MATERIAL
CASE-00009,미국,쥐치 생선 물고기,RAW_MATERIAL
CASE-00010,미국,곶감 감,PROCESSED_INGREDIENT
CASE-00011,미국,장어 생선 물고기,RAW_MATERIAL
CASE-00012,미국,젤리 사탕 견과류 젤리빈,FINISHED_PRODUCT
CASE-00013,미국,초콜릿 쿠키 비스킷 웨이퍼,FINISHED_PRODUCT
CASE-00014,미국,가자미 첨치 참 광어 생선 물고기,RAW_MATERIAL
CASE-00015,미국,가자미 첨치 참 광어 생선 물고기,RAW_MATERIAL
CASE-00016,미국,캔디 사탕,FINISHED_PRODUCT
CASE-00017,미국,캔디 사탕,FINISHED_PRODUCT
CASE-00018,미국,가자미 첨치 참 광어 생선 물고기,RAW_MATERIAL
CASE-00019,EU,굴 조개 생굴,RAW_MATERIAL
CASE-00020,중국,김가루,FINISHED_PRODUCT
CASE-00021,중국,김가루,FINISHED_PRODUCT
CASE-00022,중국,김,FINISHED_PRODUCT
CASE-00023,중국,김,PROCESSED_INGREDIENT
CASE-00024,중국,김,PROCESSED_INGREDIENT
CASE-00025,중국,김,FINISHED_PRODUCT
CASE-00026,중국,김가루,FINISHED_PRODUCT
CASE-00027,중국,김,PROCESSED_INGREDIENT
CASE-00028,대만,멸치액젓 액젓,PROCESSED_INGREDIENT
CASE-00029,대만,배추 채소,RAW_MATERIAL
CASE-00030,대만,딸기,RAW_MATERIAL
CASE-00031,미국,수프,FINISHED_PRODUCT
CASE-00032,미국,수프,FINISHED_PRODUCT
CASE-00033,미국,초콜릿 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00034,미국,초콜릿 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00035,미국,채소 크림 수프,FINISHED_PRODUCT
CASE-00036,미국,곡물 플레이크 시리얼,FINISHED_PRODUCT
CASE-00037,미국,생선 물고기,RAW_MATERIAL
CASE-00038,미국,음료,FINISHED_PRODUCT
CASE-00039,미국,오징어 해산물 수산물,RAW_MATERIAL
CASE-00040,미국,초콜릿 아이스 쿠키 과자,FINISHED_PRODUCT
CASE-00041,미국,비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00042,미국,미역,RAW_MATERIAL
CASE-00043,미국,초콜릿 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00044,미국,초콜릿 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00045,미국,초콜릿 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00046,미국,초콜릿 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00047,미국,떡,FINISHED_PRODUCT
CASE-00048,미국,장어 생선 물고기,RAW_MATERIAL
CASE-00049,미국,음료,FINISHED_PRODUCT
CASE-00050,미국,쌀,RAW_MATERIAL
CASE-00051,EU,튀김가루,PROCESSED_INGREDIENT
CASE-00052,중국,파우더,PROCESSED_INGREDIENT
CASE-00053,대만,깻잎,RAW_MATERIAL
CASE-00054,대만,딸기 과일,RAW_MATERIAL
CASE-00055,미국,인삼,RAW_MATERIAL
CASE-00056,미국,초콜릿 아이스 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00057,미국,인삼,PROCESSED_INGREDIENT
CASE-00058,미국,민어 생선 물고기,RAW_MATERIAL
CASE-00059,미국,수산물 생선 물고기 해조류 조개 ,RAW_MATERIAL
CASE-00060,미국,음료,FINISHED_PRODUCT
CASE-00061,미국,채소 수프 크림,FINISHED_PRODUCT
CASE-00062,중국,쌀밥 밥,FINISHED_PRODUCT
CASE-00063,중국,국거리 국재료 재료,PROCESSED_INGREDIENT
CASE-00064,중국,음료,FINISHED_PRODUCT
CASE-00065,중국,요거트,FINISHED_PRODUCT
CASE-00066,중국,요거트,FINISHED_PRODUCT
CASE-00067,중국,요거트,FINISHED_PRODUCT
CASE-00068,미국,농축액,RAW_MATERIAL
CASE-00069,미국,채소 야채 샐러드,RAW_MATERIAL
CASE-00070,미국,곶감 감,PROCESSED_INGREDIENT
CASE-00071,미국,어묵 오뎅,FINISHED_PRODUCT
CASE-00072,EU,탄산음료 음료 탄산,FINISHED_PRODUCT
CASE-00073,일본,스낵 과자,FINISHED_PRODUCT
CASE-00074,일본,깻잎 김치,FINISHED_PRODUCT
CASE-00075,일본,말린무 무 무침,FINISHED_PRODUCT
CASE-00076,미국,어류 생선 물고기,RAW_MATERIAL
CASE-00077,미국,조미료,PROCESSED_INGREDIENT
CASE-00078,미국,곶감 감,PROCESSED_INGREDIENT
CASE-00079,미국,수산물 생선 물고기,RAW_MATERIAL
CASE-00080,미국,멸치,RAW_MATERIAL
CASE-00081,미국,대구 명태 동태 황태 북어 먹태 생선 물고기,RAW_MATERIAL
CASE-00082,미국,무 채소,RAW_MATERIAL
CASE-00083,미국,팽이버섯 버섯,RAW_MATERIAL
CASE-00084,미국,플레인 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00085,미국,수산물 생선 물고기,RAW_MATERIAL
CASE-00086,미국,어류 생선 물고기,RAW_MATERIAL
CASE-00087,미국,사탕 캔디,FINISHED_PRODUCT
CASE-00088,미국,두부,PROCESSED_INGREDIENT
CASE-00089,미국,잎 줄기 채소,RAW_MATERIAL
CASE-00090,EU,다시마,RAW_MATERIAL
CASE-00091,중국,김치라면 라면,FINISHED_PRODUCT
CASE-00092,중국,음료,FINISHED_PRODUCT
CASE-00093,중국,김,FINISHED_PRODUCT
CASE-00094,중국,음료,FINISHED_PRODUCT
CASE-00095,중국,소금,PROCESSED_INGREDIENT
CASE-00096,대만,배추 채소,RAW_MATERIAL
CASE-00097,일본,피조개 조개,RAW_MATERIAL
CASE-00098,일본,레토르트,FINISHED_PRODUCT
CASE-00099,일본,들깻잎 깻잎,RAW_MATERIAL
CASE-00100,미국,팽이버섯 버섯,RAW_MATERIAL
CASE-00101,미국,곶감 감,PROCESSED_INGREDIENT
CASE-00102,미국,장어 생선 물고기,RAW_MATERIAL
CASE-00103,미국,안젤리카 향신료,RAW_MATERIAL
CASE-00104,미국,팽이버섯 버섯,RAW_MATERIAL
CASE-00105,미국,팽이버섯 버섯,RAW_MATERIAL
CASE-00106,미국,자두 주스,FINISHED_PRODUCT
CASE-00107,미국,초콜릿 아이스 쿠키 비스킷 웨이퍼 과자,FINISHED_PRODUCT
CASE-00108,미국,인삼 삼,RAW_MATERIAL
CASE-00109,미국,허브 향신료,RAW_MATERIAL
CASE-00110,중국,김,FINISHED_PRODUCT
CASE-00111,대만,배추 채소,RAW_MATERIAL
CASE-00112,일본,들깻잎 깻잎,RAW_MATERIAL
CASE-00113,일본,들깻잎 깻잎,RAW_MATERIAL
CASE-00114,미국,청어,RAW_MATERIAL
CASE-00115,미국,곶감 감,PROCESSED_INGREDIENT
CASE-00116,미국,팽이버섯 버섯,RAW_MATERIAL
CASE-00117,중국,소금,PROCESSED_INGREDIENT
CASE-00118,중국,소금,PROCESSED_INGREDIENT
