case_id,country,announcement_date,ingredient,violation_reason,action
CASE-00001,중국,'2020. 1 (19년11월 부적합),김,증서 또는 합격증명자료 미제출,반송/폐기
CASE-00002,일본,'2020. 1,절임식품-초절임채소 (漬け物-酢漬け野菜),"식품첨가물 사용 위반 (소브산0.60g/kg, 이산화황0.065g/kg 검출)",반송/폐기
CASE-00003,일본,'2020. 1,레토르트살균식품(レトルト殺菌食品) - 기타식품(떡볶이 소스) (トッポッキソース),식품첨가물 사용 위반 (폴리소르베이트80 0.078 % 사용),반송/폐기
CASE-00004,미국,'2020. 1 (19년11월 부적합),"밀(가공제품) (WHEAT, MILLED PRODUCT, N.E.C.)","표시위반 (①허위 표시, ②영어 미표기, ③일반명 미표기)",통관거부 (90일이내 반송/폐기)
CASE-00005,미국,'2020. 1 (19년11월 부적합),밀(가공제품),"표시위반 (①허위 표시, ②영어 미표기, ③일반명 미표기)",통관거부 (90일이내 반송/폐기)
CASE-00006,미국,'2020. 1 (12월 부적합),"비탄산 청량음료 (NONCARBONATED SOFT DRINK, N.E.C.)",식품첨가물(유해색소 검출),통관거부 (90일이내 반송/폐기)
CASE-00007,미국,'2020. 1 (12월 부적합),비탄산 청량음료,식품첨가물(유해색소 검출),통관거부 (90일이내 반송/폐기)
CASE-00008,미국,'2020. 1 (12월 부적합),쥐치(FILEFISH),미생물(살모넬라 오염),통관거부 (90일이내 반송/폐기)
CASE-00009,미국,'2020. 1 (12월 부적합),쥐치,미생물(살모넬라 오염),통관거부 (90일이내 반송/폐기)
CASE-00010,미국,'2020. 1 (12월 부적합),"곶감 또는 감 페이스트 (PERSIMMON, DRIED OR PASTE)","1)잔류농약 2)표시위반(①아황산염 함유 미표시, ②일반명 미표기)",통관거부 (90일이내 반송/폐기)
CASE-00011,미국,'2020. 1 (12월 부적합),장어(EEL),미생물(리스테리아 검출),통관거부 (90일이내 반송/폐기)
CASE-00012,미국,'2020. 1 (12월 부적합),"젤리, 사탕류, 소프트(젤리빈, 검드롭 등), 견과류및과일, 초콜릿무함유 (JELLIED CANDY, SOFT (JELLY BEANS, GUM DROPS, ETC.), WITHOUT NUTS AND FRUIT (WITHOUT CHOCOLATE))","표시위반 (①알레르기 유발성분 미표기, ②성분 미표기)",통관거부 (90일이내 반송/폐기)
CASE-00013,미국,'2020. 1 (12월 부적합),"초콜릿플레인쿠키, 비스킷, 웨이퍼 (CHOCOLATE PLAIN COOKIES, BISCUITS AND WAFERS)","1)표시위반(①알레르기유발성분미표기, ②영양정보미표시, ③제품명미표시) 2)제조위생불량(비위생적인 조건에서 제조, 가공, 포장)",통관거부 (90일이내 반송/폐기)
CASE-00014,미국,'2020. 1 (12월 부적합),"가자미(첨치, 참, 광어) (FLOUNDER(ARROWTOOTH, DAB, FLUKE))",비위생적 처리(HACCP 부적합),통관거부 (90일이내 반송/폐기)
CASE-00015,미국,'2020. 1 (12월 부적합),"가자미(첨치, 참, 광어)",비위생적 처리(HACCP 부적합),통관거부 (90일이내 반송/폐기)
CASE-00016,미국,'2020. 1 (12월 부적합),"과일 함유 하드캔디(초콜릿 무함유) (HARD CANDY WITH FRUIT, N.E.C. (WITHOUT CHOCOLATE))",1)표시위반(색소 미표시) 2)식품첨가물(유해색소 검출),통관거부 (90일이내 반송/폐기)
CASE-00017,미국,'2020. 1 (12월 부적합),과일 함유 하드캔디(초콜릿 무함유),1)표시위반(색소 미표시) 2)식품첨가물(유해색소 검출),통관거부 (90일이내 반송/폐기)
CASE-00018,미국,'2020. 1 (12월 부적합),"가자미(첨치, 참, 광어)",제조공정 미제출,통관거부 (90일이내 반송/폐기)
CASE-00019,EU,'2020. 1,냉동 굴 (frozen oysters(Crassostrea gigas)),미생물(노로바이러스 검출),소비자 회수
CASE-00020,중국,'2020. 2 (19년12월 부적합),조미 김가루(调味海苔碎),균락총수 기준치 초과,반송/폐기
CASE-00021,중국,'2020. 2 (19년12월 부적합),김가루(海苔碎),라벨 불합격,반송/폐기
CASE-00022,중국,'2020. 2 (19년12월 부적합),조미김(调味海苔),라벨 불합격,반송/폐기
CASE-00023,중국,'2020. 2 (19년12월 부적합),전통김 16봉(传统海苔16连包),라벨 불합격,반송/폐기
CASE-00024,중국,'2020. 2 (19년12월 부적합),전통김 9봉(传统海苔9连包),라벨 불합격,반송/폐기
CASE-00025,중국,'2020. 2 (19년12월 부적합),미니 도시락 김(迷你便当海苔),라벨 불합격,반송/폐기
CASE-00026,중국,'2020. 2 (19년12월 부적합),조미 김가루(调味海苔碎),라벨 불합격,반송/폐기
CASE-00027,중국,'2020. 2 (19년12월 부적합),김밥용 김(包饭用海苔),라벨 불합격,반송/폐기
CASE-00028,대만,'2020. 2 (19년12월 부적합),멸치액젓,보존료(p-Hydroxybenzoic Acid) 검출,반송/폐기
CASE-00029,대만,'2020. 2 (19년12월 부적합),배추,"잔류농약(테부페노자이드, 플루페녹수론) 기준 초과 검출",반송/폐기
CASE-00030,대만,'2020. 2 (20년1월 부적합),딸기,잔류농약(사이에노피라펜) 검출,반송/폐기
CASE-00031,미국,'2020. 2 (20년1월 부적합),"건조 수프 등 (DRIED SOUP, N.E.C.)",제조공정 미제출,통관거부 (90일이내 반송/폐기)
CASE-00032,미국,'2020. 2 (20년1월 부적합),건조 수프 등,제조공정 미제출,통관거부 (90일이내 반송/폐기)
CASE-00033,미국,'2020. 2 (20년1월 부적합),"초콜릿 플레인 쿠키, 비스킷, 웨이퍼 등 (PLAIN COOKIES, BISCUITS AND WAFERS, N.E.C.)",표시위반 (알레르기 유발성분 미표기),통관거부 (90일이내 반송/폐기)
CASE-00034,미국,'2020. 2 (20년1월 부적합),"초콜릿 플레인 쿠키, 비스킷, 웨이퍼 등",표시위반 (알레르기 유발성분 미표기),통관거부 (90일이내 반송/폐기)
CASE-00035,미국,'2020. 2 (20년1월 부적합),"채소 크림 수프 (VEGETABLE (SINGLE INGREDIENT NOT MENTIONED ELSEWHERE) SOUP, CREAMED)",①표시위반(영어 미표기) ②제조공정 미제출,통관거부 (90일이내 반송/폐기)
CASE-00036,미국,'2020. 2 (20년1월 부적합),"곡물 플레이크 혼합, 분쇄물, 기타 형태의 즉석섭취식품 (MIXED CEREAL FLAKES, SHREDDED AND OTHER FORMS READY TO EAT)",표시위반 (성분 미표시),통관거부 (90일이내 반송/폐기)
CASE-00037,미국,'2020. 2 (20년1월 부적합),"생선 등 (FISH, N.E.C.)","표시위반(①알레르기 유발성분 미표기, ②성분 미표시), 식품첨가물(유해 첨가물 검출)",통관거부 (90일이내 반송/폐기)
CASE-00038,미국,'2020. 2 (20년1월 부적합),"비탄산 청량음료 (NONCARBONATED SOFT DRINK, N.E.C.)",표시위반(성분 미표시),통관거부 (90일이내 반송/폐기)
CASE-00039,미국,'2020. 2 (20년1월 부적합),"오징어, 기타 수산물 (SQUID, OTHER AQUATIC SPECIES)",표시위반(색소 미표시),통관거부 (90일이내 반송/폐기)
CASE-00040,미국,'2020. 2 (20년1월 부적합),"초콜릿 채운 아이스 쿠키,",표시위반(①알레르기 유발성분,통관거부 (90일이내 반송/폐기)
CASE-00041,미국,'2020. 2 (20년1월 부적합),"비스킷, 웨이퍼 (CHOCOLATE FILLED/ICED COOKIES,BISCUITS AND WAFERS)","미표기, ②성분 미표시, ③영양정보 표시)",통관거부 (90일이내 반송/폐기)
CASE-00042,미국,'2020. 2 (20년1월 부적합),미역(잎&줄기) (SEAWEED (LEAF & STEM VEGETABLE)),"표시위반(성분 미표시), 식품첨가물(유해색소 검출)",통관거부 (90일이내 반송/폐기)
